asset,start,horizon_days,policy,cagr,max_drawdown,end_value,beats_lump
Current target basket,2025-02-13,345,Lump sum now,3.725149473977326,-0.3565415256047747,2336063.9985062047,False
Current target basket,2025-02-13,345,DCA 3m,4.262191356050234,-0.2247358363712968,2707005.877459565,True
Current target basket,2025-02-13,345,DCA 6m,3.7705232340877854,-0.2247358363712968,2366829.2035806836,True
Current target basket,2025-02-13,345,DCA 12m,2.827263542386881,-0.22473583637129702,1750570.7375715952,False
Current target basket,2025-02-13,345,50% now + DCA 6m,3.6893723667798755,-0.2235937433837224,2311882.411841402,False
Current target basket,2025-02-13,345,70% now + buy 10% dip/6m,3.7701336707905364,-0.330960111329624,2366564.602906144,True
Current target basket,2025-02-13,345,Wait 5% dip/3m,3.636502324353857,-0.3143192851546496,2276272.3581045717,False
Current target basket,2025-02-13,345,Wait 10% dip/6m,3.874494400461269,-0.28478807561054076,2437732.6798393372,True
Current target basket,2025-02-13,345,Wait 20% dip/12m,4.212404752531777,-0.25575361368632776,2672003.8470495967,True
Current target basket,2025-02-13,345,Trend entry 100d,3.2094319729745697,-0.2247358363712969,1994203.259505078,False
Current target basket,2025-02-13,345,Buy lower: below 100d/6m,2.8213047284576938,-0.22473583637129702,1746840.4282418336,False
