strategy_id,size_transform,earn_transform,momentum_power,top_n,cadence,return_mode,cagr,sharpe,max_drawdown,worst_12m,turnover,end_value
size=equal|earn=none|mom=0.0|top=5|weekly|close,equal,none,0.0,5,weekly,close,0.3994380605229675,1.4619262259044379,-0.2569619217756518,-0.23536195668696658,11.045854671280278,7955368.019009712
size=equal|earn=none|mom=0.0|top=5|weekly|overnight,equal,none,0.0,5,weekly,overnight,0.33041569197448495,1.8942851658793483,-0.19896399733023984,-0.17296377518325878,11.045854671280278,4804046.747656028
size=equal|earn=none|mom=0.0|top=5|weekly|intraday,equal,none,0.0,5,weekly,intraday,0.03965049846639479,0.2940107289807461,-0.3805253840753593,-0.3803623234700124,11.045854671280278,410754.4709910551
size=equal|earn=none|mom=0.0|top=5|monthly|close,equal,none,0.0,5,monthly,close,0.378412605144933,1.3674026201939284,-0.2990482333860538,-0.24224948149709535,5.267584775086505,6840666.934622315
size=equal|earn=none|mom=0.0|top=5|monthly|overnight,equal,none,0.0,5,monthly,overnight,0.3306870873901979,1.8175988916818488,-0.22177559923155754,-0.19352776987168596,5.267584775086505,4813828.390313216
size=equal|earn=none|mom=0.0|top=5|monthly|intraday,equal,none,0.0,5,monthly,intraday,0.030357840362733368,0.24778696050523888,-0.3978882189456535,-0.381343141145183,5.267584775086505,375575.9314962087
size=equal|earn=none|mom=0.0|top=7|weekly|close,equal,none,0.0,7,weekly,close,0.42303604206254364,1.564323247675667,-0.2864866407969522,-0.24164618602070553,10.79995847750865,9398980.160524843
size=equal|earn=none|mom=0.0|top=7|weekly|overnight,equal,none,0.0,7,weekly,overnight,0.31516923966532895,1.8750882016530164,-0.19013134315452773,-0.15804414415922918,10.79995847750865,4282418.558745054
size=equal|earn=none|mom=0.0|top=7|weekly|intraday,equal,none,0.0,7,weekly,intraday,0.06943905764767133,0.4421506950650765,-0.36863132418370836,-0.36863132418370836,10.79995847750865,544412.7070759925
size=equal|earn=none|mom=0.0|top=7|monthly|close,equal,none,0.0,7,monthly,close,0.38249021022104657,1.4120422031558784,-0.3060317454167454,-0.22025225547302152,5.303626297577853,7045163.855710364
size=equal|earn=none|mom=0.0|top=7|monthly|overnight,equal,none,0.0,7,monthly,overnight,0.3165495556347311,1.7905025284797738,-0.203400780180939,-0.1838513543426964,5.303626297577853,4327450.805962857
size=equal|earn=none|mom=0.0|top=7|monthly|intraday,equal,none,0.0,7,monthly,intraday,0.04465104971501055,0.31720601725399583,-0.4371246681749704,-0.42180993935419264,5.303626297577853,430886.8125586254
size=equal|earn=none|mom=0.0|top=10|weekly|close,equal,none,0.0,10,weekly,close,0.42019360182609944,1.6113431198876442,-0.2724774862445716,-0.21514406186322,10.812311418685121,9213430.681728715
size=equal|earn=none|mom=0.0|top=10|weekly|overnight,equal,none,0.0,10,weekly,overnight,0.2962317627039486,1.854662050999846,-0.17769858358623014,-0.15053519585320652,10.812311418685121,3705734.0598487
size=equal|earn=none|mom=0.0|top=10|weekly|intraday,equal,none,0.0,10,weekly,intraday,0.0830229337509103,0.5166389960792985,-0.34435909681828847,-0.3422353483105911,10.812311418685121,617436.2259018145
size=equal|earn=none|mom=0.0|top=10|monthly|close,equal,none,0.0,10,monthly,close,0.3851817291872732,1.472153919860485,-0.3060317454167455,-0.19858908289647126,5.382878892733563,7183143.346385096
size=equal|earn=none|mom=0.0|top=10|monthly|overnight,equal,none,0.0,10,monthly,overnight,0.296807254479605,1.7642142327627415,-0.1862144917995886,-0.16552910767586315,5.382878892733563,3722173.5296899956
size=equal|earn=none|mom=0.0|top=10|monthly|intraday,equal,none,0.0,10,monthly,intraday,0.06257152364521978,0.4078816859334464,-0.4122543217830207,-0.40028649135337024,5.382878892733563,510537.07843419025
size=equal|earn=none|mom=0.0|top=12|weekly|close,equal,none,0.0,12,weekly,close,0.4212627089798757,1.6080368066616435,-0.272477486244572,-0.21514406186322055,10.756822271154451,9282829.826180574
size=equal|earn=none|mom=0.0|top=12|weekly|overnight,equal,none,0.0,12,weekly,overnight,0.3021950119240193,1.8763070450073323,-0.1769077820499918,-0.14971827147646222,10.756822271154451,3879292.8038165574
size=equal|earn=none|mom=0.0|top=12|weekly|intraday,equal,none,0.0,12,weekly,intraday,0.07880684690504869,0.495064560167401,-0.34578464600703007,-0.342726810870129,10.756822271154451,593881.1904235928
size=equal|earn=none|mom=0.0|top=12|monthly|close,equal,none,0.0,12,monthly,close,0.39021686488881513,1.481016150227785,-0.3060317454167455,-0.19858908289647315,5.339227430009437,7447812.6440515425
size=equal|earn=none|mom=0.0|top=12|monthly|overnight,equal,none,0.0,12,monthly,overnight,0.3043854714294727,1.7991150548474062,-0.1862144917995887,-0.16552910767586326,5.339227430009437,3944859.4951875685
size=equal|earn=none|mom=0.0|top=12|monthly|intraday,equal,none,0.0,12,monthly,intraday,0.060242627222536926,0.3955345094544052,-0.4100430878287251,-0.4001651962847361,5.339227430009437,499487.5194167513
size=equal|earn=none|mom=0.5|top=5|weekly|close,equal,none,0.5,5,weekly,close,0.505584214160292,1.620515991975248,-0.326093132029877,-0.23226858042306697,11.359867159959213,16492709.369767003
size=equal|earn=none|mom=0.5|top=5|weekly|overnight,equal,none,0.5,5,weekly,overnight,0.3911756066825589,1.9975961850595878,-0.18156909070485816,-0.11715534039264475,11.359867159959213,7499191.424580135
size=equal|earn=none|mom=0.5|top=5|weekly|intraday,equal,none,0.5,5,weekly,intraday,0.06868636084418345,0.41067772029385574,-0.36732706406534443,-0.3549581138670679,11.359867159959213,540603.6859918246
size=equal|earn=none|mom=0.5|top=5|monthly|close,equal,none,0.5,5,monthly,close,0.517546077768624,1.6218310979737758,-0.3022410428023007,-0.20941769175850788,5.657030554138406,17846985.808122557
size=equal|earn=none|mom=0.5|top=5|monthly|overnight,equal,none,0.5,5,monthly,overnight,0.40450031310463364,1.9810623405966197,-0.17001366943640994,-0.1269223239643793,5.657030554138406,8247043.897260061
size=equal|earn=none|mom=0.5|top=5|monthly|intraday,equal,none,0.5,5,monthly,intraday,0.07370025659572588,0.42559416825820684,-0.42788182289289156,-0.40645789166416424,5.657030554138406,566435.4660392458
size=equal|earn=none|mom=0.5|top=7|weekly|close,equal,none,0.5,7,weekly,close,0.46215373673107374,1.6009687068303797,-0.31144842845592857,-0.22614668374124136,10.910706266799226,12317568.22815534
size=equal|earn=none|mom=0.5|top=7|weekly|overnight,equal,none,0.5,7,weekly,overnight,0.3563065097475222,1.9600320441642878,-0.16481650526758784,-0.13238402941996164,10.910706266799226,5822099.010742727
size=equal|earn=none|mom=0.5|top=7|weekly|intraday,equal,none,0.5,7,weekly,intraday,0.06551625137070083,0.4108938640161655,-0.36023869621780835,-0.35487923411573785,10.910706266799226,524823.1141960643
size=equal|earn=none|mom=0.5|top=7|monthly|close,equal,none,0.5,7,monthly,close,0.46473196712883635,1.5773221742129089,-0.3002195007322147,-0.1875966131122737,5.517671125320901,12535883.219670292
size=equal|earn=none|mom=0.5|top=7|monthly|overnight,equal,none,0.5,7,monthly,overnight,0.3644302687118095,1.9348779525712265,-0.15647417133238706,-0.13624595661491823,5.517671125320901,6179346.322663937
size=equal|earn=none|mom=0.5|top=7|monthly|intraday,equal,none,0.5,7,monthly,intraday,0.06710635428430578,0.41072519545826247,-0.4103705712554895,-0.39185737834825896,5.517671125320901,532685.9525898929
size=equal|earn=none|mom=0.5|top=10|weekly|close,equal,none,0.5,10,weekly,close,0.4447752585115541,1.6118589236635719,-0.296892411934897,-0.21887534213054427,10.692731080527984,10933061.541778129
size=equal|earn=none|mom=0.5|top=10|weekly|overnight,equal,none,0.5,10,weekly,overnight,0.3339546003338425,1.9446642891958814,-0.16703513687030058,-0.13979397669024063,10.692731080527984,4933010.982363727
size=equal|earn=none|mom=0.5|top=10|weekly|intraday,equal,none,0.5,10,weekly,intraday,0.07047615162295284,0.44302495919423707,-0.35749505806322923,-0.3521126117252815,10.692731080527984,549700.4751326714
size=equal|earn=none|mom=0.5|top=10|monthly|close,equal,none,0.5,10,monthly,close,0.43457182702895913,1.5469924229458296,-0.3002195007322148,-0.19342096446025459,5.2479470053921045,10187023.568408607
size=equal|earn=none|mom=0.5|top=10|monthly|overnight,equal,none,0.5,10,monthly,overnight,0.347071889901605,1.9235712716020255,-0.16981734197909648,-0.15270909172759417,5.2479470053921045,5438652.10441983
size=equal|earn=none|mom=0.5|top=10|monthly|intraday,equal,none,0.5,10,monthly,intraday,0.05899389051102033,0.38132486904051355,-0.4039959349312887,-0.3948961964712967,5.2479470053921045,493651.87715699687
size=equal|earn=none|mom=0.5|top=12|weekly|close,equal,none,0.5,12,weekly,close,0.43729151716203574,1.6063498941266214,-0.29689241193489746,-0.21887534213054483,10.65148002959658,10381260.985422261
size=equal|earn=none|mom=0.5|top=12|weekly|overnight,equal,none,0.5,12,weekly,overnight,0.33000370378356125,1.9509979594984435,-0.16694919744113923,-0.139705226710648,10.65148002959658,4789232.031547587
size=equal|earn=none|mom=0.5|top=12|weekly|intraday,equal,none,0.5,12,weekly,intraday,0.06814715488376444,0.4335677054705058,-0.35701210355975166,-0.3516256113747932,10.65148002959658,537889.7939863928
size=equal|earn=none|mom=0.5|top=12|monthly|close,equal,none,0.5,12,monthly,close,0.4290807582626668,1.5444735545564834,-0.3002195007322145,-0.19342096446025292,5.251322734019992,9804790.453988653
size=equal|earn=none|mom=0.5|top=12|monthly|overnight,equal,none,0.5,12,monthly,overnight,0.34448344380914175,1.929168044053909,-0.16981734197909581,-0.1527090917275934,5.251322734019992,5335330.568730824
size=equal|earn=none|mom=0.5|top=12|monthly|intraday,equal,none,0.5,12,monthly,intraday,0.05690958851229189,0.3730248370807943,-0.4057114041053922,-0.3968612207618549,5.251322734019992,484047.95892186515
size=equal|earn=none|mom=1.0|top=5|weekly|close,equal,none,1.0,5,weekly,close,0.5104427363375919,1.6136918744274518,-0.3302999132944372,-0.23062308762618522,11.574037590269372,17031200.562011626
