ticker,post_drop_value,target_value,trade_dollars,post_drop_weight,target_weight
NBIS,62876.733671449496,67078.56371565099,4201.830044201495,0.24796620550178464,0.2645369112523148
QQQ,59421.51264807598,63392.44247438081,3970.929826304833,0.23433989261452723,0.25
MU,47080.8539096263,50227.10109698546,3146.247187359164,0.18567218769277338,0.19808000424216204
NVDA,18359.124725148697,19586.000190061724,1226.8754649130278,0.07240265561848436,0.07724106938290451
SNDK,17626.621881204377,18804.546768098662,1177.924886894285,0.06951389311244766,0.07415926108107548
GEV,7275.476120353942,7761.670494064782,486.1943737108404,0.028692206185675154,0.030609604990380183
SMCI,7204.102246462202,7685.526956257987,481.424709795785,0.028410729912219587,0.030309318651683074
AMD,6563.085719969429,7001.673559231812,438.58783926238266,0.025882760877299415,0.027612414374400554
BIL,0.0,0.0,0.0,0.0,0.0
VRT,0.0,0.0,0.0,0.0,0.0
VST,0.0,0.0,0.0,0.0,0.0
CEG,0.0,0.0,0.0,0.0,0.0
ANET,0.0,0.0,0.0,0.0,0.0
STX,0.0,0.0,0.0,0.0,0.0
MRVL,0.0,0.0,0.0,0.0,0.0
INTC,0.0,0.0,0.0,0.0,0.0
AVGO,0.0,0.0,0.0,0.0,0.0
GLD,13225.950975232856,12032.244642791042,-1193.706332441814,0.05215902108748193,0.04745141602507944
CASH,13936.307999999999,0.0,-13936.307999999999,0.05496044739730673,0.0
