ticker,post_drop_value,target_value,trade_dollars,post_drop_weight,target_weight
NBIS,66360.02170645664,66709.89692839292,349.87522193627956,0.26314948727481874,0.2645369112523148
QQQ,62713.386,63044.03477438083,330.64877438083204,0.2486888181587515,0.25
MU,49689.07105968138,49951.05070220947,261.9796425280874,0.19704112862345502,0.19808000424216204
NVDA,19376.19599705149,19478.354656744777,102.15865969328661,0.07683596103261059,0.07724106938290451
SNDK,18603.113462609057,18701.196137750838,98.08267514178078,0.07377031597511584,0.07415926108107548
GEV,7678.527892276954,7719.012005774357,40.48411349740309,0.030449065957455473,0.030609604990380183
SMCI,7603.2,7643.286956257989,40.086956257989186,0.030150354538736265,0.030309318651683074
AMD,6926.672004214922,6963.192048097287,36.52004388236492,0.02746759478911758,0.027612414374400554
BIL,0.0,0.0,0.0,0.0,0.0
VRT,0.0,0.0,0.0,0.0,0.0
VST,0.0,0.0,0.0,0.0,0.0
CEG,0.0,0.0,0.0,0.0,0.0
ANET,0.0,0.0,0.0,0.0,0.0
STX,0.0,0.0,0.0,0.0,0.0
MRVL,0.0,0.0,0.0,0.0,0.0
INTC,0.0,0.0,0.0,0.0,0.0
AVGO,0.0,0.0,0.0,0.0,0.0
GLD,13225.950975232856,11966.11488791488,-1259.8360873179754,0.052447273649938876,0.04745141602507944
