ticker,post_drop_value,target_value,trade_dollars,post_drop_weight,target_weight
NBIS,59393.44563644238,60366.51759885372,973.0719624113408,0.2329489074665426,0.23676542371848006
QQQ,56129.63929615196,57049.23871784026,919.5994216882973,0.22014782962022672,0.22375461953271014
MU,44472.63675957122,45201.25378896765,728.6170293964315,0.17442753210030912,0.17728526394497032
NVDA,17342.05345324591,17626.176824186325,284.12337094041504,0.0680178151287671,0.06913218436828586
SNDK,16650.130299799708,16922.91755421166,272.78725441195274,0.06530400149295407,0.06637390899209185
GEV,6872.424348430931,6985.018648619974,112.59430018904277,0.026954552416658634,0.027396162074676253
SMCI,6805.004492924407,6916.494220539824,111.489727615417,0.02669012287374354,0.027127400252812087
AMD,6199.499435723938,6301.068876884404,101.56944116046543,0.02431525238039453,0.02471362109089413
BIL,0.0,0.0,0.0,0.0,0.0
VRT,0.0,0.0,0.0,0.0,0.0
VST,0.0,0.0,0.0,0.0,0.0
CEG,0.0,0.0,0.0,0.0,0.0
ANET,0.0,0.0,0.0,0.0,0.0
STX,0.0,0.0,0.0,0.0,0.0
MRVL,0.0,0.0,0.0,0.0,0.0
INTC,0.0,0.0,0.0,0.0,0.0
AVGO,0.0,0.0,0.0,0.0,0.0
GLD,13225.950975232856,12098.374397667209,-1127.5765775656473,0.05187391970396373,0.04745141602507944
CASH,27872.615999999998,25496.340069752332,-2376.275930247666,0.10932006681643994,0.1
